DESC_SEDE_FISICA;DESC_SC_SSD_SS;ordinari;dh;utic;ds;intensita;match_db_reparti
AGNONE - P.O. CARACCIOLO;SC DIREZIONE (IS);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SC EMERGENZA TERRITORIALE E CENTRALE OPERATIVA 118 (CB);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SC IGIENE E SANITA' PUBBLICA;0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SC MEDICINA DI BASE, SPECIALISTICA, RIABILITATIVA E RESIDENZIALE (IS);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SC MEDICINA INTERNA (AG);14;3;0;0;Media;Medicina generale
AGNONE - P.O. CARACCIOLO;SC VETERINARIA - AREA B - IGIENE DELLA PROD., TRASF., COMM., CONS. E TRASP. ALIMENTI ORIGINE ANIMALE E LORO DERIVATI;0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SS DIPENDENZE (IS);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SS DIREZIONE MEDICA  (AG);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SS EMODIALISI (IS);0;0;0;0;Alta;
AGNONE - P.O. CARACCIOLO;SS FARMACIA OSPEDALIERA (IS);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SS LABORATORIO ANALISI (IS);0;0;0;0;;
AGNONE - P.O. CARACCIOLO;SSD PRONTO SOCCORSO - MEDICINA E CHIRURGIA DI URGENZA (IS);0;0;0;0;Bassa;
AGNONE - P.O. CARACCIOLO;SSD RADIODIAGNOSTICA (IS);0;0;0;0;;
AGNONE - PALAZZINA AMMINISTRATIVA;SC DIREZIONE AMMINISTRATIVA OSP. REGIONALE;0;0;0;0;;
AGNONE - PALAZZINA AMMINISTRATIVA;SC IGIENE DEGLI ALIMENTI E DELLA NUTRIZIONE;0;0;0;0;Media;
AGNONE - PALAZZINA AMMINISTRATIVA;SC MEDICINA INTERNA (AG);0;0;0;0;Media;
AGNONE - PALAZZINA AMMINISTRATIVA;SC VETERINARIA - AREA A - SANITA' ANIMALE;0;0;0;0;;
AGNONE - PALAZZINA AMMINISTRATIVA;SSD UO AMMINISTRATIVA DS-IS;0;0;0;0;;
CAMPOBASSO - BOJANO;SC DIREZIONE (CB);0;0;0;0;;
CAMPOBASSO - BOJANO;SC EMERGENZA TERRITORIALE E CENTRALE OPERATIVA 118 (CB);0;0;0;0;;
CAMPOBASSO - BOJANO;SC MEDICINA DI BASE, SPECIALISTICA, RIABILITATIVA E RESIDENZIALE (CB);0;0;0;0;;
CAMPOBASSO - BOJANO;SC VETERINARIA - AREA B - IGIENE DELLA PROD., TRASF., COMM., CONS. E TRASP. ALIMENTI ORIGINE ANIMALE E LORO DERIVATI;0;0;0;0;;
CAMPOBASSO - BOJANO;SC VETERINARIA - AREA C - IGIENE ALLEVAMENTI E PRODUZIONI ZOOTECNICHE;0;0;0;0;;
CAMPOBASSO - BOJANO;SSD UO AMMINISTRATIVA DS-CB;0;0;0;0;;
CAMPOBASSO - CENTRO DI SALUTE MENTALE;SC CSM (CB);0;0;0;0;Alta;
CAMPOBASSO - CENTRO DI SALUTE MENTALE;SC DIPENDENZE (CB);0;0;0;0;;
CAMPOBASSO - CENTRO DI SALUTE MENTALE;SS SPDC (CB);0;0;0;0;Alta;
CAMPOBASSO - P.O. CARDARELLI;SC ANESTESIA E TERAPIA INTENSIVA (CB);12;1;0;0;Intensiva;"Terapia intensiva; Terapia intensiva; Terapia del dolore"
CAMPOBASSO - P.O. CARDARELLI;SC CARDIOLOGIA (CB);9;1;6;0;Media;"Cardiologia; Unità coronarica"
CAMPOBASSO - P.O. CARDARELLI;SC CENTRO TRASFUSIONALE (CB);0;0;0;0;;
CAMPOBASSO - P.O. CARDARELLI;SC CHIRURGIA GENERALE (CB);19;0;0;4;Media;Chirurgia Generale
CAMPOBASSO - P.O. CARDARELLI;SC CHIRURGIA VASCOLARE (CB);6;0;0;2;Media;Chirurgia vascolare
